Device_SN,PartNo_Select,Iop (mA),Ith (mA),Laser Temperature (Top) (C),Slope Efficiency (mW/mA),Optical Power (mW),SMSR (dB),Tracking Error_MIN (dB),Tracking Error_MAX (dB),Thermistor Resistance (Rth) (K-Ohm),B Consttant (K),CNR @ 61.25 MHz (dB),CNR @ 547.25 MHz (dB),CSO (dB),CTB (dB),Chirp (MHz/mW),Monitor Current (micro-A),Frequency Response (dB),
BFC2436,G1752-204-022,74.52,15.87826,27.35,0.177,10.51,50.66,-0.09,0.12,9.014,3941.4,52,52.8,43.6,66.8,324.38,409.2,1.07,
CEL3105,G1752-204-054,57.28,17.59563,30.79,0.258,10.5,50.1,-0.05,0.18,7.783,3948.1,51.5,52.2,44.2,71.1,342.88,456.7,0.96,
BFC4670,G1752-204-026,74.03,21.79004,30.31,0.194,10.5,47.8,-0.25,0.01,7.955,3953.4,52.2,52,43.2,63.9,357.02,336.9,0.7,
BFC4661,G1752-204-026,62.99,14.46816,29.02,0.212,10.54,48.42,-0.14,0.01,8.404,3950.7,51.3,52,43.7,71.1,346.45,502.2,0.69,
BFC4666,G1752-204-026,67.77,14.49662,29.73,0.193,10.53,45.54,-0.03,0.14,8.158,3954.4,51.4,52.3,43.9,70.4,347.26,521.8,0.79,
BFC4530,G1752-204-022,65,15.14495,29.2,0.207,10.54,48.8,-0.28,0.28,8.333,3948,51.7,52.2,42.6,71.5,378.16,580.4,0.84,
BFC4537,G1752-204-022,65.52,14.34695,27.74,0.202,10.51,49.69,-0.06,0.23,8.883,3950,51.7,52.3,42.7,69.8,373.43,394.6,0.92,
BFC4507,G1752-204-022,63.79,15.66119,30.89,0.214,10.5,46.4,-0.17,0.1,7.755,3950.8,51.4,52.3,43.4,69.1,351.21,549.2,1.4,
BFC4563,G1752-204-022,65.05,13.43412,30.45,0.201,10.55,49.27,-0.12,0.07,7.884,3941.4,51.5,52.1,43.7,67.9,357.64,666.5,0.82,
BFC4640,G1752-204-022,65.54,16.03366,31.87,0.209,10.53,52.38,-0.18,0.02,7.434,3948.6,51.5,52.5,43.6,69.8,338.04,650.5,0.7,
BFC5428,G1752-204-054,56.81,10.96602,20.11,0.227,10.54,51.36,-0.05,0.07,12.479,3945.4,51.3,52.1,45.1,70.3,341.68,443.5,0.75,
BFC5429,G1752-204-054,60.53,13.0304,21.24,0.219,10.52,44.29,-0.17,0.01,11.865,3948.8,51.2,52,44.7,69.3,366.88,720.9,0.74,
BFC3392,G1752-204-047,74.82,15.96719,28.72,0.175,10.51,48.9,-0.16,0.06,8.514,3950.7,51.3,52.3,44.4,68.9,327.16,572.8,1.18,
BFC3400,G1752-204-047,74.99,16.69503,29.89,0.177,10.51,46.41,-0.15,0.03,8.089,3948,51.5,52.3,44.4,71.6,350.66,544.5,0.73,
BFC3397,G1752-204-047,76.54,17.06189,26.2,0.172,10.5,49.17,-0.2,0.05,9.492,3945.8,51.7,52.3,44.1,65.6,341.59,394.3,1.27,
BFC4733,G1752-204-026,88.3,19.95729,28.43,0.153,10.5,47.03,-0.17,0.02,8.622,3950.8,51.3,52.1,43.4,69.9,311.09,667.2,0.7,
CEG1075,G1752-204-034,94.54,15.64042,26.1,0.13,10.52,50.75,-0.09,0.03,9.53,3944.4,53.1,53.7,41.2,70.9,372.57,499.3,0.7,
CEG1094,G1752-204-034,76.52,16.54806,28.1,0.171,10.52,50.42,-0.15,0.08,8.741,3948.4,52,53.1,42.7,64.4,355.06,688.3,0.8,
CEG1061,G1752-204-034,82.54,15.15257,28.32,0.153,10.52,47.51,-0.09,0.05,8.654,3946.8,53.1,53.7,42.4,71.6,342.21,365.2,0.8,
CEG1084,G1752-204-034,98.79,20.91941,28.06,0.133,10.52,48.82,-0.04,0.18,8.745,3943.7,53,53.7,41.7,71.9,381.33,391.5,0.7,
CEG1030,G1752-204-034,89.28,18.23456,25.76,0.146,10.51,46.55,-0.06,0.01,9.627,3928.1,52.8,53.6,41.9,70.6,322.11,865.5,1.4,
CEJB754,G1752-204-034,93.03,17.66841,20.01,0.136,10.5,48.28,-0.17,0.06,12.537,3945.6,52.8,53.6,42.7,70.9,314.71,357.1,0.8,
CEG1039,G1752-204-034,85.02,15.75476,27.87,0.15,10.53,51.06,-0.13,0.15,8.818,3943.9,53.1,53.9,41.6,69.9,348.84,278.3,0.6,
BFC5414,G1752-204-054,72.29,15.45024,21.25,0.182,10.54,47.9,-0.29,0.23,11.842,3944.6,52.9,54,42.6,68.1,353.78,354.9,1.01,
BFB3621,G1752-204-054,82.54,12.987,26.73,0.15,10.54,52.79,-0.13,0.11,9.278,3947.5,51.7,53.2,43.4,69.3,334.06,541.2,1.11,
BFC5418,G1752-204-054,72.79,14.75267,23.7,0.177,10.53,48.06,-0.18,0.09,10.619,3949.5,51.9,52.9,43.4,69.8,340.07,455.6,0.64,
BFC5421,G1752-204-054,77.06,16.75208,25.25,0.171,10.53,50.75,-0.12,0.3,9.858,3932.2,51.6,52.9,43.1,69.9,340.44,514.1,0.81,
BFC5423,G1752-204-054,61.06,13.17224,22.42,0.22,10.54,50.96,-0.22,0.02,11.253,3950.6,51.1,52.1,44.4,66,339.1,627.9,0.89,
BFC3393,G1752-204-047,77.54,17.49485,29.88,0.171,10.52,49.55,-0.24,0.07,8.09,3946.8,51.6,52.7,43.2,70.8,335.94,458.2,0.92,
BFC3396,G1752-204-047,81.86,15.85732,29.01,0.158,10.55,48.21,-0.1,0.13,8.406,3949.9,51.4,52.4,42.6,70.1,343.19,550.1,0.79,
BFC3377,G1752-204-047,78.05,14.79265,27.91,0.164,10.5,48.63,-0.06,0.07,8.814,3948.6,51.2,52.7,42.6,70.5,331.56,505.6,1.1,
CFB8955,G1752-204-029,84.25,17.31686,26.83,0.153,10.5,48.47,-0.17,0.07,9.242,3949.3,52.1,53,41.9,71.8,332.48,271.2,1.23,
BFC1801,G1752-204-036,73.29,15.04357,24.42,0.18,10.53,50.06,-0.03,0.19,10.305,3956.5,51.8,53.1,42.6,68.1,344.87,646.3,0.98,
BFC2554,G1752-204-038,77.54,15.28092,23.85,0.166,10.52,50.37,-0.17,0.13,10.558,3952.5,51.9,53.4,42.4,71.8,368.46,415.1,1.45,
BFC2602,G1752-204-033,77.44,12.62276,23.43,0.16,10.54,46.57,-0.14,0.09,10.761,3953.1,51.9,53.2,43.1,70.9,362.52,531.2,1.32,
BFC2630,G1752-204-033,79.8,15.13866,24.32,0.161,10.52,51.68,-0.03,0.17,10.355,3957.6,51.6,52.7,42.2,69.6,378.58,749.1,1.22,
BFB0435,G1752-204-024,85.24,18.36604,29.81,0.155,10.5,51.97,-0.03,0.2,8.128,3953.4,52.2,53.3,40.9,69.6,365.19,849.2,1.25,
CFB9551,G1752-204-020,91.3,16.85835,25.13,0.14,10.51,50.23,-0.12,0.04,9.959,3948.2,52,53.2,42.2,70.1,360.53,657.2,1.09,
BFC4619,G1752-204-022,71.05,15.15066,30.28,0.188,10.52,52.29,-0.27,0.22,7.956,3948.7,52.5,53.5,41.4,67.6,352.13,269.6,0.87,
BFC1971,G1752-204-022,79.82,15.22496,22.18,0.16,10.52,51.22,-0.19,0.03,11.365,3947.8,51.4,52.5,42.7,69.8,341.37,367.7,1.32,
BFC3542,G1752-204-026,82.58,16.01958,23.37,0.155,10.52,49.31,-0.15,0.27,10.771,3947.7,51.2,52.5,42.2,70.1,369.25,609.3,0.8,
BFC4713,G1752-204-026,79.01,18.35195,29.82,0.17,10.52,51.61,-0.04,0.06,8.123,3952.7,52,53.1,42.1,70.1,343.88,451.6,1.23,
BFC2697,G1752-204-026,87.8,15.06943,27.59,0.143,10.51,46.8,-0.06,0.11,8.939,3949,52,53.1,42.1,70.3,340,512.1,0.97,
BFC2669,G1752-204-026,88.54,16.64291,29.61,0.144,10.51,46.73,-0.12,0.07,8.198,3953.3,51.5,53,41.9,70.2,340.31,611.1,0.74,
BFC4712,G1752-204-026,81.27,20.07711,28.43,0.168,10.52,47.33,-0.2,0.16,8.624,3951.6,51.9,52.7,41.9,71.8,365.4,397.4,0.99,
BFC2689,G1752-204-026,85.52,15.79576,27.37,0.15,10.52,49.72,-0.01,0.14,9.012,3943.8,51.5,52.6,42.4,70.7,319.34,553.8,0.92,
BFC3544,G1752-204-026,77.49,15.86143,23.68,0.167,10.5,49.52,-0.18,0.02,10.623,3947.9,51.5,52.5,43.4,70.1,321.17,658.3,1.25,
BFC3526,G1752-204-026,72.01,15.92085,24.15,0.185,10.55,45.82,-0.11,0.01,10.429,3956.1,52,53,42.9,70.6,332.87,405.7,0.9,
BFC3579,G1752-204-026,81.06,15.46817,29.57,0.16,10.5,51.49,-0.07,0.17,8.186,3940.8,51.4,52.7,42.7,67.2,367.71,590.6,0.98,
BFC2679,G1752-204-026,95.51,14.64381,26.5,0.129,10.51,50.49,-0.09,0.19,9.37,3946.7,51.7,53.2,42.1,71.8,358.2,767.7,1.11,
BFC3591,G1752-204-026,90.29,17.17756,25.14,0.142,10.52,50.16,-0.14,0.25,9.957,3949,52.2,53.3,41.2,69.9,348.6,512.8,1.19,
BFC3434,G1752-204-026,79.29,19.68571,27.45,0.17,10.51,47.47,-0.25,0.29,8.978,3942.7,52.2,53,40.9,63.7,342.63,427.3,0.67,
BFC1920,G1752-204-026,89.52,16.66659,32.75,0.141,10.52,51.73,-0.13,0.01,7.153,3942.8,52.1,53.1,41.7,68,347.19,501.7,1.19,
BFC3548,G1752-204-026,85.78,17.50853,28.15,0.153,10.54,51.84,-0.04,0.18,8.736,3954.3,52.3,53.4,41.4,72.3,344.93,657.4,1.32,
BFC3523,G1752-204-026,82.56,14.63729,24.38,0.153,10.51,52.56,-0.19,0.01,10.301,3949.5,52.4,53.4,41.7,69.6,350.1,692.7,1.06,
BFC4642,G1752-204-022,70.3,18.16672,31.42,0.196,10.51,49.82,-0.16,0.01,7.59,3955.5,52.7,53.7,41.6,72.4,359.58,493.8,0.66,
BFC4718,G1752-204-026,87.28,16.24086,27.32,0.146,10.51,50.66,-0.03,0.03,9.048,3950.2,52,53,41.7,71.3,370.56,542.8,1.43,
BFC3573,G1752-204-026,79.03,17.22668,27.79,0.168,10.52,52.84,-0.09,0.05,8.848,3943.6,51,52.3,42.7,70.5,316.24,370.1,1.14,
BFC2680,G1752-204-026,98.29,16.69337,27.4,0.128,10.5,49.17,-0.24,0.02,9.009,3947.3,51.8,52.8,41.2,71.6,376.2,658.6,1.2,
BFC4710,G1752-204-026,74.79,21.37261,31,0.191,10.5,43.1,-0.13,0.05,7.711,3946.7,52.2,53,42.6,70.8,326.71,359.7,0.71,
BFC3488,G1752-204-026,80.28,18.59309,26.81,0.169,10.55,49.94,-0.19,0.11,9.223,3939,51.5,52.8,41.7,69.8,327.33,548.1,1.25,
BFC2648,G1752-204-026,85.79,17.20169,26.4,0.152,10.51,50,-0.18,0.12,9.407,3945.1,52,53.1,42.6,72.1,321.8,529.6,1.25,
BFC4707,G1752-204-026,78.04,19.82891,30.39,0.178,10.54,43.3,-0.23,0.04,7.914,3946.4,52,52.8,41.4,70.1,344.08,454.2,1.4,
BFC3572,G1752-204-026,84.29,18.44727,26.67,0.158,10.51,51.3,-0.03,0.1,9.291,3943.2,51.8,53.1,42.2,71.6,317.98,332.7,0.93,
BFC2144,G1752-204-028,72.53,16.49817,31.83,0.186,10.51,50.28,-0.23,0.26,7.454,3952.9,52.2,53.2,41.9,72,346.17,739.1,1.28,
BFC2674,G1752-204-026,82.3,15.51413,24.6,0.156,10.51,50.45,-0.19,0.01,10.2,3949.4,52,53.2,42.9,72.6,314.52,599,1.41,
BFC2428,G1752-204-022,75.8,21.08469,29.24,0.194,10.5,48.72,-0.03,0.15,8.329,3952.8,51.7,53,43.2,63.9,323.12,395.8,1.12,
BFC1855,G1752-204-026,71.04,18.11329,30.89,0.197,10.55,52.27,-0.04,0.06,7.746,3946,51.7,52.5,42.6,70.1,311.56,534.5,0.67,
BFC5439,G1752-204-054,70.54,12.61105,24.67,0.175,10.54,50.6,-0.16,0.04,10.156,3945.5,52.4,53.2,42.4,68.5,351.25,866,0.91,
BFC5420,G1752-204-054,65.25,18.09136,25,0.213,10.53,43.8,-0.14,0.01,10.018,3948.7,51.9,52.7,43.4,65.6,342.25,310.5,0.55,
BFC5424,G1752-204-054,65.08,12.04179,22.17,0.193,10.5,48.8,-0.02,0.09,11.363,3945.9,52.8,53.6,42.9,71.7,336.82,457,0.52,
BFB1911,G1752-204-051,73.51,18.31705,28.47,0.186,10.52,43.23,-0.2,0.08,8.605,3949.9,53.6,53.9,42.4,70.9,360.55,386.9,0.64,
BFC2640,G1752-204-026,83.82,15.88423,27.67,0.152,10.51,49.84,-0.01,0.12,8.892,3942.6,52.8,54.1,42.1,71.6,339.47,509.6,0.98,
BFC4688,G1752-204-026,83.04,16.35317,28.69,0.156,10.52,51.43,-0.02,0.1,8.515,3946.3,52.8,53.7,41.9,71.2,346.87,586.5,1.26,
BFC4655,G1752-204-026,77.08,18.2651,29.99,0.178,10.53,52.12,-0.01,0.14,8.054,3947.9,52.5,53.7,42.6,66.8,350.8,617.6,0.73,
BFC4649,G1752-204-026,75.05,18.86887,33.15,0.184,10.5,48.55,-0.21,0.1,7.045,3950.2,52.9,53.9,41.6,70.9,357.48,540,0.66,
CFB6540,G1752-204-020,79.88,13.43713,27.49,0.157,10.53,50.53,-0.15,0.01,8.974,3947.4,52.8,53.7,42.1,71.6,335.05,578.7,0.97,
BFC3576,G1752-204-026,79.28,18.36412,25,0.167,10.5,53.59,-0.21,0.05,10.017,3948.4,52.1,53.1,41.2,70.9,338.89,489,0.64,
CFBA430,G1752-204-021,59.02,13.05606,25.22,0.225,10.51,46.74,-0.19,0.05,9.915,3946.8,52.8,53.6,41.7,71.6,337.96,423.9,0.75,
BFC2532,G1752-204-022,73.54,15.08303,30.17,0.176,10.51,50.29,-0.14,0.14,7.987,3945.4,52.3,53.3,41.6,71.9,347.12,365.1,0.9,
BFC5345,G1752-204-022,74.81,17.26183,29.56,0.181,10.5,49.97,-0.16,0.01,8.2,3945.8,53,53.9,41.4,69.2,341.17,507.5,0.68,
BFC1926,G1752-204-026,87.76,16.54449,31.26,0.145,10.51,50.38,-0.06,0.05,7.612,3939,52.2,53.3,42.4,71.4,327.9,497.1,1.29,
BFC5336,G1752-204-022,69.28,16.78903,29.35,0.195,10.56,50.65,-0.18,0.01,8.272,3944.6,52.8,53.6,41.7,71.4,342.82,393.3,0.67,
CFBB117,G1752-204-020,86.04,19.14555,25.52,0.155,10.52,50.25,-0.2,0.27,9.762,3939.3,52.4,53.3,43.1,70.8,317.79,659.5,0.84,
BFC5333,G1752-204-022,70.51,16.31998,28.73,0.193,10.53,51.85,-0.21,0.21,8.507,3949.2,52.9,54.1,41.7,66.6,336.82,503.9,0.76,
BFC2374,G1752-204-022,75.29,17.1115,30.6,0.179,10.52,49.33,-0.08,0.07,7.846,3947.8,52.1,53.2,41.7,64.3,360.33,694.3,0.82,
BFC1945,G1752-204-026,86.81,19.45431,31.25,0.153,10.55,52.44,-0.1,0.08,7.623,3943.3,52.3,53.3,42.2,70.3,343.21,471,1.27,
CFB5740,G1752-204-020,73.29,15.23135,25.98,0.18,10.51,46.23,-0.09,0.01,9.571,3941.1,51.7,52.8,43.2,71,341.78,483.4,1.11,
BFC5342,G1752-204-022,77.29,19.30417,28.24,0.18,10.51,48.33,-0.05,0.02,8.698,3952.7,52.4,53.2,41.7,71.6,340.48,628.6,1.07,
CFB8024,G1752-204-020,82.79,19.66733,26.96,0.165,10.54,47.41,-0.13,0.03,9.175,3943.7,51.7,52.5,41.4,71.8,368.24,702.6,0.81,
BFB0295,G1752-204-022,75.31,19.28763,26.12,0.189,10.54,51.67,-0.29,0.01,9.485,3931.3,53.3,54.1,41.1,64.3,384.37,316.7,0.76,
BFC2399,G1752-204-022,80.53,15.82355,30.76,0.159,10.51,51.6,-0.21,0.09,7.782,3942.3,52.2,52.8,41.2,70.4,372.77,405.5,0.83,
BFC2402,G1752-204-022,74.78,14.98156,30.45,0.171,10.51,45.39,-0.26,0.17,7.893,3946,53,53.7,41.9,70.1,322.67,420.9,1.32,
BFB3725,G1752-204-022,89.53,17.84229,27.36,0.146,10.53,48.41,-0.21,0.15,9.017,3944.2,53.1,53.9,41.6,70.1,344.6,698.4,1.25,
BFC2378,G1752-204-022,80.55,18.88647,27.79,0.167,10.52,46.5,-0.27,0.27,8.856,3946.9,51.7,52.8,42.2,70.4,389.92,236.2,1.07,
CFB7954,G1752-204-020,75.28,15.48479,29.95,0.174,10.5,52.4,-0.1,0.01,8.047,3937.6,51.7,53,43.1,70.5,365.56,378,1.16,
BFC5349,G1752-204-022,66.07,19.37075,29.66,0.222,10.55,48.56,-0.14,0.04,8.164,3945.4,52.8,53.6,42.1,69.9,347.09,566.6,0.73,
BFC3456,G1752-204-026,74.53,15.50243,24.46,0.176,10.54,51.13,-0.12,0.01,10.265,3949.7,52.8,53.4,42.4,70.7,333.59,614.7,1.13,
BFC0223,G1752-204-022,94.54,20.39412,28.55,0.138,10.52,50.43,-0.25,0.01,8.577,3950.7,52,53,41.7,66.2,331.68,212.1,0.77,
BFC2475,G1752-204-022,72.52,14.91476,29.77,0.179,10.54,51.28,-0.12,0.2,8.126,3945.7,52.4,53.4,41.7,70.1,352.06,498.8,1.2,
BFC4634,G1752-204-022,65.55,14.10747,32.64,0.206,10.53,51.83,-0.02,0.01,7.208,3956.3,51.5,52.6,42.7,66.3,372.43,230.1,0.83,
BFC2403,G1752-204-022,74.54,14.64835,30.12,0.172,10.5,47.7,-0.16,0.03,8.017,3951.8,52.8,53.9,41.9,71.4,351.6,392.4,1.34,
BFC4620,G1752-204-022,68.78,18.30334,32.58,0.206,10.53,51.9,-0.12,0.03,7.203,3941.9,52.3,53.3,41.7,70.8,313.49,165.4,1.16,
BFC2660,G1752-204-026,94.26,16.82316,27.5,0.135,10.53,42.77,-0.14,0.02,8.971,3947.8,52.6,53.6,42.1,69.4,323.74,655.8,1.25,
BFC4618,G1752-204-022,72.53,18.16693,32.21,0.189,10.5,45.71,-0.28,0.23,7.335,3953,52.4,53.4,41.9,70.8,337.67,277.3,1.25,
BFC4725,G1752-204-026,83.8,18.53954,27.6,0.161,10.54,45.85,-0.02,0.11,8.929,3946.6,52,53,42.6,70.8,353.6,458.2,1.22,
BFC2696,G1752-204-026,99.77,16.5873,27.38,0.126,10.53,46.23,-0.09,0.06,9.013,3945.7,53.1,54.1,41.6,70.4,331.02,795.6,0.6,
BFC3437,G1752-204-026,75.57,18.42002,30.87,0.182,10.52,41.71,-0.09,0.05,7.749,3944.1,53.1,53.7,40.9,71.4,358.62,396.9,0.89,
BFC4526,G1752-204-022,65.53,18.39484,29.64,0.224,10.55,45.64,-0.01,0.1,8.188,3953.5,52.2,53.3,42.4,66,374.35,526.2,0.7,
BFC1898,G1752-204-026,85.48,17.40541,31.78,0.153,10.5,51.3,-0.08,0.05,7.462,3948.3,52.8,53.4,42.1,70.3,338.18,736.3,1.41,
BFC3569,G1752-204-026,68.78,17.13144,27.46,0.199,10.53,52.04,-0.07,0.1,8.964,3938.7,51.4,52.5,42.9,70.4,367.5,224.9,0.65,
BFC4647,G1752-204-026,79.27,17.34669,31.73,0.169,10.53,51.06,-0.04,0.03,7.496,3958.7,53,53.6,41.9,67,342.2,704.1,0.88,
BFC3584,G1752-204-026,71.05,16.43035,27.91,0.192,10.54,52.31,-0.24,0.18,8.811,3947.3,51.6,52.7,42.4,63.9,335.93,505.6,1.42,
BFC2673,G1752-204-026,87.07,15.21244,30.27,0.145,10.52,49.13,-0.01,0.19,7.956,3947,53.1,53.6,41.6,71.1,352.15,444.9,1.24,
BFC3568,G1752-204-026,79.48,15.53567,25.6,0.159,10.5,47.57,-0.02,0.09,9.724,3938.1,52.3,53.1,41.7,71.1,338.42,267.5,0.64,
BFC2019,G1752-204-022,66.3,15.70921,23.37,0.204,10.54,44.94,-0.21,0.24,10.772,3948,52.6,53.2,42.4,71.4,324.22,433,0.74,
BFB2726,G1752-204-030,65.79,15.9643,25.7,0.206,10.52,52.43,-0.02,0.07,9.669,3933.8,51.8,52.8,41.9,66.4,354.08,411.1,1.33,
BFC5425,G1752-204-054,56.56,11.83932,21.54,0.231,10.52,49.84,-0.12,0.03,11.707,3949.6,52.3,53.3,43.9,70.2,325.45,468,0.89,
BFC5438,G1752-204-054,68.3,11.52804,22.92,0.181,10.52,49.83,-0.2,0.19,11.007,3952,51.6,52.5,44.1,70.3,348.56,668.5,0.6,
BFC2167,G1752-204-030,86.02,15.31689,24.47,0.147,10.5,52.02,-0.1,0.23,10.248,3945.9,52.2,53.2,43.1,70.3,321.17,510.8,1.17,
BFC3513,G1752-204-026,71.78,19.47986,28.9,0.2,10.54,49.27,-0.06,0.19,8.445,3949.4,52.8,53.6,41.9,70.9,339.01,619.4,0.83,
BFC5416,G1752-204-054,68.26,12.30128,23.44,0.181,10.55,51.57,-0.16,0.26,10.759,3953.9,52,53.1,43.2,70.8,372.92,753.1,0.96,
BFC0183,G1752-204-022,87.79,15.33502,27.52,0.138,10.51,49.49,-0.11,0.16,8.961,3946.9,52.6,53.6,41.9,71.6,310.02,706,0.88,
BFC1118,G1752-204-022,62.75,16.87905,25.7,0.222,10.53,50.44,-0.11,0.04,9.668,3933.5,52.6,53.2,42.4,70.1,319.61,458.4,0.73,
BFC2392,G1752-204-022,84.81,18.03908,30.58,0.153,10.51,49.04,-0.1,0.09,7.846,3944.3,52.6,53.2,41.4,70.9,352.22,356.8,1.12,
BFC1983,G1752-204-022,79.29,15.95226,23.5,0.166,10.52,49.7,-0.1,0.05,10.719,3950.7,52.4,53.4,42.6,67.7,363.09,782.9,0.73,
BFC2383,G1752-204-022,78.08,15.46398,27.88,0.167,10.5,51.77,-0.18,0.2,8.819,3945.9,52.3,53.2,42.7,66.9,327.97,417.2,1.09,
BFC2359,G1752-204-022,82.62,16.14271,32.41,0.154,10.52,50.43,-0.04,0.14,7.277,3955.4,52.6,53.5,41.6,72.1,375.13,382,1.22,
BFC4517,G1752-204-022,70.04,16.48008,30.5,0.194,10.52,45.14,-0.13,0.01,7.883,3949.5,52.6,53.2,41.7,70.2,365.64,357.1,1.16,
BFC4626,G1752-204-022,68.26,17.62357,28.2,0.206,10.52,50.62,-0.03,0.12,8.703,3948.4,52.8,53.4,41.4,66.1,377.79,868,1.2,
BFC3385,G1752-204-047,85.03,15.96543,29.16,0.149,10.52,46.76,-0.18,0.24,8.331,3940.4,52.3,53.5,42.9,69.9,342.36,557.3,0.95,
BFC2517,G1752-204-022,64.78,16.7098,30.26,0.219,10.51,52.57,-0.07,0.19,7.954,3944.2,52.1,52.9,43.6,66,310.06,273.1,0.82,
BFC0191,G1752-204-022,75.79,17.04405,26.31,0.173,10.54,49.19,-0.01,0.24,9.445,3945.4,51.9,53,42.9,70.4,341.25,918,0.99,
BFC2473,G1752-204-022,75.05,17.9384,29.97,0.179,10.52,47.23,-0.2,0.19,8.055,3944.9,52.1,53.2,43.1,72.2,347.19,541.3,1.3,
BFC3388,G1752-204-047,80.04,14.58154,28.67,0.158,10.5,47.47,-0.22,0.23,8.514,3942.6,51.6,52.9,43.2,71.6,338.25,527.7,1.23,
BFC3398,G1752-204-047,77.28,16.81642,27.69,0.169,10.54,49.83,-0.14,0.24,8.892,3945.8,51.6,52.9,43.6,69.1,337.94,400.3,0.84,
BFC2567,G1752-204-038,75.04,15.38087,24.26,0.169,10.5,50.66,-0.12,0.2,10.334,3942.7,52.6,53.5,42.2,70.9,353.23,396.9,0.71,
BFC2485,G1752-204-022,73.53,16.97094,29.44,0.184,10.51,50.68,-0.08,0.17,8.264,3955.9,52.4,53.5,43.4,69.6,340.4,287.3,0.92,
BFB0320,G1752-204-022,57.79,13.55722,25.42,0.234,10.55,50.44,-0.08,0.03,9.814,3942.2,52.4,53.5,42.1,70.7,351.42,340.6,0.91,
BFC2397,G1752-204-022,78.52,14.9843,30.56,0.16,10.51,47.64,-0.03,0.14,7.846,3940.8,52.1,52.9,42.2,71.9,343.14,332.6,1.44,
BFC2576,G1752-204-038,66.53,11.46562,22.18,0.185,10.55,50.88,-0.01,0.1,11.358,3946,52.1,53.2,43.4,71.9,313.37,356.7,1.44,
BFC2638,G1752-204-026,77.28,15.68117,26.63,0.166,10.51,48.01,-0.2,0.1,9.315,3946.1,52.6,53.7,42.7,72.6,328.17,601.9,1.17,
BFC3597,G1752-204-026,81.06,15.60575,26.86,0.158,10.55,50.64,-0.12,0.06,9.209,3941.4,52.3,53.4,42.6,71.4,333.76,528.4,0.88,
BFC1198,G1752-204-022,73.31,13.03467,22.56,0.179,10.53,50.73,-0.09,0.13,11.17,3947.4,52.1,53.2,41.9,63.9,383.2,919,1.02,
CFB8727,G1752-204-047,73.79,18.31846,29.1,0.191,10.51,47.77,-0.05,0.16,8.369,3947.9,51.4,52.2,43.4,63.1,317.05,670.8,0.92,
BFC2523,G1752-204-022,72.58,15.80067,27.86,0.184,10.53,50.85,-0.16,0.16,8.819,3942.7,52.1,53,42.4,63.2,362.21,845.7,1.29,
BFC1885,G1752-204-026,93.79,17.44274,31.08,0.136,10.52,47.93,-0.24,0.19,7.686,3947.4,52.6,53.5,41.9,71.7,362.19,541,1.37,
BFC1986,G1752-204-022,77.02,14.96455,22.18,0.171,10.54,50.37,-0.02,0.23,11.363,3947.3,52.4,53.7,42.9,64.4,361.96,733.5,1.3,
BFC4518,G1752-204-022,68.77,18.82924,29.78,0.21,10.52,49.36,-0.25,0.06,8.128,3948.3,52.3,53.4,42.4,66.4,347.96,651.9,1.05,
BFC2643,G1752-204-026,89.53,22.85065,25.35,0.155,10.51,51.42,-0.15,0.01,9.815,3932.4,51.9,53,43.7,71.9,314.27,630.9,0.76,
BFC4534,G1752-204-022,63.04,14.9236,27.17,0.215,10.5,43.74,-0.01,0.12,9.087,3942.2,51.9,52.9,42.9,70.7,356.41,419,0.73,
BFC4625,G1752-204-022,66.26,18.28442,29.59,0.221,10.52,50,-0.15,0.1,8.199,3950.4,52.8,53.6,41.6,63.1,345.82,783.4,1.13,
BFC3375,G1752-204-047,75.27,16.77834,28.52,0.176,10.54,48.42,-0.08,0.12,8.59,3951.5,53.1,53.6,42.6,66.3,335.61,342,0.89,
BFC4525,G1752-204-022,56.78,15.1799,29.74,0.249,10.57,47.53,-0.02,0.15,8.157,3955.6,52.8,53.9,42.7,69.8,315.4,451.3,1.02,
BFC3520,G1752-204-026,69.28,15.60248,29.47,0.193,10.51,51.46,-0.08,0.14,8.235,3947.3,52.8,53.9,42.1,68.3,335.24,675,0.87,
BFC3565,G1752-204-026,75.79,18.54832,25,0.183,10.53,49.65,-0.18,0.14,10.014,3947.4,52.6,53.6,42.7,67.7,326.32,515.5,1.29,
BFC3570,G1752-204-026,83.05,14.82584,26.13,0.15,10.52,49.75,-0.14,0.18,9.479,3930.7,52.8,53.7,42.4,69.9,326.29,336.6,0.53,
BFB1041,G1752-204-022,75.04,16.68985,26.57,0.175,10.52,48.87,-0.13,0.01,9.328,3941.8,52.8,53.6,42.6,71.1,318.88,266.4,1.17,
BFC3422,G1752-204-026,77.51,16.1361,26.55,0.169,10.52,50.68,-0.13,0.03,9.313,3933.2,52.8,53.6,42.2,69.9,333.02,530.1,0.65,
BFC3408,G1752-204-026,77.77,19.47786,25.18,0.179,10.5,48.23,-0.25,0.22,9.915,3941,53.3,53.9,41.9,69.7,318.15,424.4,0.65,
BFC1868,G1752-204-026,77.54,16.85075,28.96,0.168,10.51,49.22,-0.15,0.03,8.404,3940.8,52.4,53.2,42.2,71.1,329.88,412,1.48,
BFC3405,G1752-204-026,65.8,18.90089,25.15,0.218,10.53,42.07,-0.01,0.06,9.954,3949.5,52.8,53.1,42.7,70.4,334.96,259.5,1.07,
